,Modelo,RMSE,R2,Corr,MAE,MAPE,MedAE,EV,HitRate_20%,HitRate_10%,Avg_price,RMSE_over_Avg
Treino,Linear Regression,9.148149960438039,0.5620106752628564,0.7496737125328968,6.340965742559354,17.91533182668409,5.033621792852591,0.5620106752628564,0.6870967741935484,0.36129032258064514,38.75032258064516,0.23607932402109386
Teste,Linear Regression,8.169980065411279,0.5791882522907079,0.7711503471398137,5.924852914134136,22.700350942066468,4.474176625510383,0.592733214123935,0.6730769230769231,0.4230769230769231,35.684615384615384,0.22894964615293517
Treino,Perceptron,9.148755707619976,0.5619526701833293,0.7496406828622058,6.340062565521596,17.880537274802887,5.0659602101368595,0.5619541590020193,0.6806451612903226,0.3548387096774194,38.75032258064516,0.2360949560763026
Teste,Perceptron,8.151935838956893,0.5810450101310183,0.77179614760176,5.908848126698252,22.586987152718113,4.519513067150786,0.5940856386107498,0.6826923076923077,0.4230769230769231,35.684615384615384,0.22844398772675062
Treino,MLP 1 camada,9.513623468553702,0.5263158065039268,0.7537882353226586,6.922832980798563,19.63444264029016,5.992784380028854,0.5404384259253991,0.6129032258064516,0.3161290322580645,38.75032258064516,0.24551081991006507
Teste,MLP 1 camada,8.896454941749543,0.5010238029679694,0.7499566547183936,6.96737567906131,25.12854139426237,6.096809038701057,0.5129975668597317,0.5480769230769231,0.3076923076923077,35.684615384615384,0.24930785566446229
Treino,MLP 2 camadas,8.027506966308566,0.6627450307997325,0.8143799402809944,5.316090959572608,14.506099986411158,4.210086598225963,0.6628172664685887,0.7483870967741936,0.45161290322580644,38.75032258064516,0.207159745563463
Teste,MLP 2 camadas,7.101217899154326,0.6820846190710292,0.8310510166792417,5.00908406415793,19.200316369673924,3.822630775503601,0.6871072101942031,0.7211538461538461,0.5192307692307693,35.684615384615384,0.19899942377453383
Treino,SVR RBF,7.117574017711771,0.7348687254724846,0.8574921852884649,3.9197846950406947,9.999556299164194,2.4844827938086667,0.7350339798826253,0.8774193548387097,0.632258064516129,38.75032258064516,0.1836778004337653
Teste,SVR RBF,6.712653776855703,0.7159241221492348,0.849112762177751,4.56703381038642,16.840651168966797,3.1603781124769466,0.719078057692293,0.7692307692307693,0.49038461538461536,35.684615384615384,0.18811058223566315
Treino,LSSVR Linear,9.335602363635486,0.5438773217522972,0.7489689266507008,6.180996041167945,16.747859886458905,4.567064223214061,0.560919387862621,0.7129032258064516,0.4,38.75032258064516,0.24091676512387
Teste,LSSVR Linear,8.048352313795824,0.5916243675035309,0.7705655984752331,5.709985688634796,21.240413878259396,4.200944662075543,0.5925993659101967,0.7307692307692307,0.4519230769230769,35.684615384615384,0.22554123750667324
